crop,month,year,price
banana,8,2012,19.68
banana,9,2012,21.53
banana,10,2012,20.12
banana,11,2012,21.4
banana,12,2012,18.72
banana,1,2013,15.87
banana,2,2013,17.49
banana,3,2013,16.2
banana,4,2013,13.73
banana,5,2013,17.59
banana,6,2013,16.01
banana,7,2013,16.86
banana,8,2013,20.17
banana,9,2013,18.42
banana,10,2013,16.49
banana,11,2013,16.58
banana,12,2013,18.31
banana,1,2014,15.45
banana,2,2014,17.4
banana,3,2014,18.31
banana,4,2014,16.8
banana,5,2014,13.61
banana,6,2014,17.3
banana,7,2014,18.98
banana,8,2014,20.75
banana,9,2014,20.22
banana,10,2014,20.36
banana,11,2014,18.94
banana,12,2014,17.54
banana,1,2015,21.05
banana,2,2015,14.97
banana,3,2015,18.8
banana,4,2015,19.88
banana,5,2015,24.35
banana,6,2015,19.6
banana,7,2015,19.07
banana,8,2015,21.47
banana,9,2015,26.21
banana,10,2015,20.59
banana,11,2015,19.58
banana,12,2015,20.24
banana,1,2016,18.6
banana,2,2016,15.22
banana,3,2016,15.29
banana,4,2016,14.88
banana,5,2016,15.57
banana,6,2016,18.03
banana,7,2016,15.8
banana,8,2016,19.92
banana,9,2016,19.86
banana,10,2016,17.52
banana,11,2016,19.45
banana,12,2016,16.96
banana,1,2017,22.5
banana,2,2017,21.67
banana,3,2017,18.57
banana,4,2017,18.29
banana,5,2017,21.49
banana,6,2017,20.76
banana,7,2017,24.27
banana,8,2017,23.3
banana,9,2017,25.02
banana,10,2017,23.56
banana,11,2017,22.4
banana,12,2017,22.41
banana,1,2018,19.03
banana,2,2018,18.95
banana,3,2018,18.92
banana,4,2018,17.31
banana,5,2018,20.34
banana,6,2018,20.91
banana,7,2018,19.96
banana,8,2018,22.66
banana,9,2018,22.9
banana,10,2018,23.82
banana,11,2018,20.12
banana,12,2018,18.05
banana,1,2019,21.78
banana,2,2019,18.87
banana,3,2019,20.59
banana,4,2019,17.87
banana,5,2019,19.39
banana,6,2019,21.86
banana,7,2019,20.86
banana,8,2019,24.85
banana,9,2019,25.58
banana,10,2019,25.08
banana,11,2019,24.38
banana,12,2019,23.3
banana,1,2020,20.04
banana,2,2020,19.61
banana,3,2020,17.86
banana,4,2020,15.76
banana,5,2020,15.59
banana,6,2020,18.99
banana,7,2020,19.55
banana,8,2020,21.5
banana,9,2020,21.59
banana,10,2020,21.29
banana,11,2020,20.37
banana,12,2020,16.83
banana,1,2021,26.8
banana,2,2021,29.44
banana,3,2021,24.06
banana,4,2021,29.65
banana,5,2021,20.84
banana,6,2021,25.72
banana,7,2021,27.2
banana,8,2021,29.76
banana,9,2021,27.45
banana,10,2021,28.85
banana,11,2021,30.45
banana,12,2021,28.3
banana,1,2022,28.94
banana,2,2022,29.76
banana,3,2022,27.89
banana,4,2022,23.87
banana,5,2022,29.05
banana,6,2022,30.31
banana,7,2022,31.0
banana,8,2022,34.61
banana,9,2022,41.36
banana,10,2022,30.08
banana,11,2022,29.31
banana,12,2022,32.15
banana,1,2023,29.13
banana,2,2023,23.76
banana,3,2023,23.69
banana,4,2023,25.39
banana,5,2023,30.32
banana,6,2023,23.98
banana,7,2023,25.53
banana,8,2023,26.55
banana,9,2023,35.96
banana,10,2023,28.4
banana,11,2023,33.95
banana,12,2023,23.96
banana,1,2024,25.05
banana,2,2024,29.94
banana,3,2024,26.94
banana,4,2024,28.58
banana,5,2024,28.02
banana,6,2024,27.48
banana,7,2024,33.04
banana,8,2024,32.09
banana,9,2024,39.65
banana,10,2024,23.26
banana,11,2024,29.39
banana,12,2024,31.79
brinjal,1,2000,11.59
brinjal,2,2000,8.98
brinjal,3,2000,6.3
brinjal,4,2000,10.21
brinjal,5,2000,6.44
brinjal,6,2000,11.62
brinjal,7,2000,14.51
brinjal,8,2000,11.47
brinjal,9,2000,12.87
brinjal,10,2000,10.25
brinjal,11,2000,10.62
brinjal,12,2000,13.97
brinjal,1,2001,12.98
brinjal,2,2001,10.61
brinjal,3,2001,9.84
brinjal,4,2001,10.01
brinjal,5,2001,8.15
brinjal,6,2001,12.5
brinjal,7,2001,10.91
brinjal,8,2001,12.52
brinjal,9,2001,11.76
brinjal,10,2001,13.66
brinjal,11,2001,10.35
brinjal,12,2001,10.11
brinjal,1,2002,16.37
brinjal,2,2002,12.41
brinjal,3,2002,13.92
brinjal,4,2002,10.49
brinjal,5,2002,10.88
brinjal,6,2002,16.7
brinjal,7,2002,19.36
brinjal,8,2002,17.99
brinjal,9,2002,18.16
brinjal,10,2002,15.54
brinjal,11,2002,18.62
brinjal,12,2002,15.99
brinjal,1,2003,12.98
brinjal,2,2003,14.24
brinjal,3,2003,13.55
brinjal,4,2003,10.25
brinjal,5,2003,12.35
brinjal,6,2003,9.3
brinjal,7,2003,18.69
brinjal,8,2003,13.31
brinjal,9,2003,15.33
brinjal,10,2003,12.18
brinjal,11,2003,12.74
brinjal,12,2003,11.99
brinjal,1,2004,11.33
brinjal,2,2004,10.25
brinjal,3,2004,8.7
brinjal,4,2004,9.53
brinjal,5,2004,9.3
brinjal,6,2004,10.21
brinjal,7,2004,11.93
brinjal,8,2004,13.59
brinjal,9,2004,7.5
brinjal,10,2004,10.6
brinjal,11,2004,8.24
brinjal,12,2004,9.76
brinjal,1,2005,16.6
brinjal,2,2005,10.26
brinjal,3,2005,10.33
brinjal,4,2005,10.44
brinjal,5,2005,9.85
brinjal,6,2005,13.26
brinjal,7,2005,11.87
brinjal,8,2005,15.76
brinjal,9,2005,17.69
brinjal,10,2005,13.37
brinjal,11,2005,20.42
brinjal,12,2005,9.14
brinjal,1,2006,12.06
brinjal,2,2006,11.13
brinjal,3,2006,9.49
brinjal,4,2006,10.41
brinjal,5,2006,11.67
brinjal,6,2006,13.33
brinjal,7,2006,9.52
brinjal,8,2006,11.54
brinjal,9,2006,13.75
brinjal,10,2006,12.63
brinjal,11,2006,15.4
brinjal,12,2006,18.56
brinjal,1,2007,16.73
brinjal,2,2007,13.31
brinjal,3,2007,15.69
brinjal,4,2007,12.0
brinjal,5,2007,11.95
brinjal,6,2007,13.91
brinjal,7,2007,17.53
brinjal,8,2007,19.0
brinjal,9,2007,17.22
brinjal,10,2007,11.32
brinjal,11,2007,18.61
brinjal,12,2007,15.26
brinjal,1,2008,16.13
brinjal,2,2008,16.57
brinjal,3,2008,14.28
brinjal,4,2008,12.45
brinjal,5,2008,16.41
brinjal,6,2008,17.41
brinjal,7,2008,15.22
brinjal,8,2008,18.86
brinjal,9,2008,15.42
brinjal,10,2008,9.74
brinjal,11,2008,10.03
brinjal,12,2008,21.41
brinjal,1,2009,27.8
brinjal,2,2009,26.12
brinjal,3,2009,12.08
brinjal,4,2009,14.85
brinjal,5,2009,19.98
brinjal,6,2009,18.78
brinjal,7,2009,24.72
brinjal,8,2009,28.72
brinjal,9,2009,24.82
brinjal,10,2009,27.56
brinjal,11,2009,18.61
brinjal,12,2009,25.87
brinjal,1,2010,15.66
brinjal,2,2010,11.01
brinjal,3,2010,13.25
brinjal,4,2010,12.31
brinjal,5,2010,11.14
brinjal,6,2010,16.43
brinjal,7,2010,15.7
brinjal,8,2010,13.55
brinjal,9,2010,22.34
brinjal,10,2010,17.07
brinjal,11,2010,12.23
brinjal,12,2010,22.52
brinjal,1,2011,20.08
brinjal,2,2011,15.42
brinjal,3,2011,16.05
brinjal,4,2011,11.17
brinjal,5,2011,12.43
brinjal,6,2011,28.32
brinjal,7,2011,27.68
brinjal,8,2011,20.89
brinjal,9,2011,14.68
brinjal,10,2011,20.75
brinjal,11,2011,11.5
brinjal,12,2011,17.19
brinjal,1,2012,26.1
brinjal,2,2012,19.69
brinjal,3,2012,18.08
brinjal,4,2012,14.55
brinjal,5,2012,20.29
brinjal,6,2012,24.49
brinjal,7,2012,24.34
brinjal,8,2012,26.57
brinjal,9,2012,18.62
brinjal,10,2012,17.75
brinjal,11,2012,19.94
brinjal,12,2012,14.26
brinjal,1,2013,14.17
brinjal,2,2013,14.32
brinjal,3,2013,8.0
brinjal,4,2013,13.06
brinjal,5,2013,11.26
brinjal,6,2013,17.94
brinjal,7,2013,16.33
brinjal,8,2013,12.23
brinjal,9,2013,15.91
brinjal,10,2013,11.73
brinjal,11,2013,15.04
brinjal,12,2013,15.93
brinjal,1,2014,20.85
brinjal,2,2014,16.53
brinjal,3,2014,18.05
brinjal,4,2014,16.78
brinjal,5,2014,17.19
brinjal,6,2014,21.77
brinjal,7,2014,21.14
brinjal,8,2014,22.02
brinjal,9,2014,21.82
brinjal,10,2014,15.74
brinjal,11,2014,21.3
brinjal,12,2014,16.26
brinjal,1,2015,28.16
brinjal,2,2015,18.39
brinjal,3,2015,26.68
brinjal,4,2015,27.41
brinjal,5,2015,24.06
brinjal,6,2015,26.87
brinjal,7,2015,25.82
brinjal,8,2015,30.49
brinjal,9,2015,27.3
brinjal,10,2015,25.26
brinjal,11,2015,28.98
brinjal,12,2015,25.08
brinjal,1,2016,19.33
brinjal,2,2016,20.34
brinjal,3,2016,16.0
brinjal,4,2016,13.22
brinjal,5,2016,14.02
brinjal,6,2016,22.87
brinjal,7,2016,18.58
brinjal,8,2016,21.29
brinjal,9,2016,20.84
brinjal,10,2016,15.48
brinjal,11,2016,19.22
brinjal,12,2016,27.19
brinjal,1,2017,22.76
brinjal,2,2017,29.72
brinjal,3,2017,23.13
brinjal,4,2017,29.03
brinjal,5,2017,24.2
brinjal,6,2017,22.76
brinjal,7,2017,31.76
brinjal,8,2017,33.55
brinjal,9,2017,32.4
brinjal,10,2017,34.73
brinjal,11,2017,19.89
brinjal,12,2017,25.09
brinjal,1,2018,17.97
brinjal,2,2018,21.32
brinjal,3,2018,22.25
brinjal,4,2018,22.2
brinjal,5,2018,24.47
brinjal,6,2018,19.92
brinjal,7,2018,34.71
brinjal,8,2018,23.12
brinjal,9,2018,27.92
brinjal,10,2018,16.96
brinjal,11,2018,15.98
brinjal,12,2018,13.74
brinjal,1,2019,40.29
brinjal,2,2019,32.83
brinjal,3,2019,33.33
brinjal,4,2019,23.54
brinjal,5,2019,30.96
brinjal,6,2019,37.59
brinjal,7,2019,25.56
brinjal,8,2019,28.02
brinjal,9,2019,24.76
brinjal,10,2019,30.17
brinjal,11,2019,24.35
brinjal,12,2019,35.02
brinjal,1,2020,24.51
brinjal,2,2020,22.08
brinjal,3,2020,17.03
brinjal,4,2020,18.11
brinjal,5,2020,15.81
brinjal,6,2020,15.7
brinjal,7,2020,26.84
brinjal,8,2020,17.99
brinjal,9,2020,16.69
brinjal,10,2020,24.18
brinjal,11,2020,25.12
brinjal,12,2020,21.7
brinjal,1,2021,34.64
brinjal,2,2021,29.34
brinjal,3,2021,28.37
brinjal,4,2021,23.13
brinjal,5,2021,23.57
brinjal,6,2021,22.49
brinjal,7,2021,31.46
brinjal,8,2021,55.36
brinjal,9,2021,25.08
brinjal,10,2021,33.15
brinjal,11,2021,22.65
brinjal,12,2021,34.63
brinjal,1,2022,21.92
brinjal,2,2022,36.5
brinjal,3,2022,15.27
brinjal,4,2022,28.03
brinjal,5,2022,34.46
brinjal,6,2022,33.22
brinjal,7,2022,32.04
brinjal,8,2022,49.23
brinjal,9,2022,33.14
brinjal,10,2022,35.44
brinjal,11,2022,32.78
brinjal,12,2022,33.16
brinjal,1,2023,29.99
brinjal,2,2023,32.27
brinjal,3,2023,40.7
brinjal,4,2023,29.14
brinjal,5,2023,30.85
brinjal,6,2023,45.26
brinjal,7,2023,48.85
brinjal,8,2023,29.27
brinjal,9,2023,46.32
brinjal,10,2023,32.42
brinjal,11,2023,27.35
brinjal,12,2023,42.42
brinjal,1,2024,36.39
brinjal,2,2024,18.23
brinjal,3,2024,35.95
brinjal,4,2024,21.56
brinjal,5,2024,33.71
brinjal,6,2024,27.15
brinjal,7,2024,32.61
brinjal,8,2024,40.38
brinjal,9,2024,29.8
brinjal,10,2024,30.09
brinjal,11,2024,30.86
brinjal,12,2024,32.58
cabbage,1,2000,9.0
cabbage,2,2000,8.84
cabbage,3,2000,6.21
cabbage,4,2000,5.57
cabbage,5,2000,4.79
cabbage,6,2000,8.01
cabbage,7,2000,11.95
cabbage,8,2000,10.64
cabbage,9,2000,11.14
cabbage,10,2000,11.25
cabbage,11,2000,10.09
cabbage,12,2000,9.85
cabbage,1,2001,9.17
cabbage,2,2001,8.73
cabbage,3,2001,7.85
cabbage,4,2001,6.89
cabbage,5,2001,6.1
cabbage,6,2001,7.61
cabbage,7,2001,9.53
cabbage,8,2001,12.58
cabbage,9,2001,9.12
cabbage,10,2001,11.09
cabbage,11,2001,7.65
cabbage,12,2001,8.1
cabbage,1,2002,13.0
cabbage,2,2002,15.04
cabbage,3,2002,10.21
cabbage,4,2002,9.5
cabbage,5,2002,7.99
cabbage,6,2002,9.5
cabbage,7,2002,17.32
cabbage,8,2002,15.57
cabbage,9,2002,18.97
cabbage,10,2002,11.78
cabbage,11,2002,13.79
cabbage,12,2002,11.54
cabbage,1,2003,9.55
cabbage,2,2003,11.83
cabbage,3,2003,8.75
cabbage,4,2003,8.26
cabbage,5,2003,8.03
cabbage,6,2003,10.94
cabbage,7,2003,7.17
cabbage,8,2003,9.45
cabbage,9,2003,10.43
cabbage,10,2003,11.64
cabbage,11,2003,11.28
cabbage,12,2003,17.34
cabbage,1,2004,10.67
cabbage,2,2004,7.81
cabbage,3,2004,7.79
cabbage,4,2004,6.88
cabbage,5,2004,6.07
cabbage,6,2004,10.6
cabbage,7,2004,12.29
cabbage,8,2004,8.87
cabbage,9,2004,6.97
cabbage,10,2004,8.87
cabbage,11,2004,11.96
cabbage,12,2004,10.13
cabbage,1,2005,13.08
cabbage,2,2005,11.27
cabbage,3,2005,8.36
cabbage,4,2005,6.64
cabbage,5,2005,7.42
cabbage,6,2005,10.66
cabbage,7,2005,11.11
cabbage,8,2005,11.23
cabbage,9,2005,15.03
cabbage,10,2005,14.4
cabbage,11,2005,15.22
cabbage,12,2005,7.82
cabbage,1,2006,13.53
cabbage,2,2006,13.05
cabbage,3,2006,6.23
cabbage,4,2006,10.32
cabbage,5,2006,7.9
cabbage,6,2006,9.62
cabbage,7,2006,14.69
cabbage,8,2006,12.83
cabbage,9,2006,11.96
cabbage,10,2006,18.73
cabbage,11,2006,11.96
cabbage,12,2006,12.64
cabbage,1,2007,15.5
cabbage,2,2007,15.49
cabbage,3,2007,9.07
cabbage,4,2007,7.02
cabbage,5,2007,12.03
cabbage,6,2007,14.27
cabbage,7,2007,11.87
cabbage,8,2007,10.98
cabbage,9,2007,12.81
cabbage,10,2007,11.9
cabbage,11,2007,11.97
cabbage,12,2007,13.84
cabbage,1,2008,12.28
cabbage,2,2008,12.72
cabbage,3,2008,9.43
cabbage,4,2008,6.12
cabbage,5,2008,8.14
cabbage,6,2008,17.22
cabbage,7,2008,9.13
cabbage,8,2008,19.86
cabbage,9,2008,10.36
cabbage,10,2008,12.59
cabbage,11,2008,12.86
cabbage,12,2008,19.32
cabbage,1,2009,17.16
cabbage,2,2009,14.56
cabbage,3,2009,11.83
cabbage,4,2009,13.43
cabbage,5,2009,14.62
cabbage,6,2009,17.53
cabbage,7,2009,16.37
cabbage,8,2009,12.12
cabbage,9,2009,20.79
cabbage,10,2009,18.14
cabbage,11,2009,20.76
cabbage,12,2009,20.6
cabbage,1,2010,19.8
cabbage,2,2010,15.21
cabbage,3,2010,13.44
cabbage,4,2010,10.71
cabbage,5,2010,7.8
cabbage,6,2010,13.27
cabbage,7,2010,11.97
cabbage,8,2010,12.8
cabbage,9,2010,17.35
cabbage,10,2010,13.65
cabbage,11,2010,18.75
cabbage,12,2010,17.71
cabbage,1,2011,16.36
cabbage,2,2011,14.21
cabbage,3,2011,10.38
cabbage,4,2011,8.88
cabbage,5,2011,6.98
cabbage,6,2011,12.92
cabbage,7,2011,11.75
cabbage,8,2011,12.9
cabbage,9,2011,11.67
cabbage,10,2011,13.68
cabbage,11,2011,9.14
cabbage,12,2011,16.89
cabbage,1,2012,15.99
cabbage,2,2012,19.46
cabbage,3,2012,16.31
cabbage,4,2012,13.82
cabbage,5,2012,8.98
cabbage,6,2012,15.38
cabbage,7,2012,14.76
cabbage,8,2012,21.53
cabbage,9,2012,17.27
cabbage,10,2012,17.92
cabbage,11,2012,13.34
cabbage,12,2012,23.77
cabbage,1,2013,16.84
cabbage,2,2013,12.44
cabbage,3,2013,11.21
cabbage,4,2013,5.35
cabbage,5,2013,12.68
cabbage,6,2013,11.3
cabbage,7,2013,12.74
cabbage,8,2013,8.01
cabbage,9,2013,20.04
cabbage,10,2013,17.78
cabbage,11,2013,9.05
cabbage,12,2013,13.56
cabbage,1,2014,17.94
cabbage,2,2014,8.54
cabbage,3,2014,9.72
cabbage,4,2014,12.85
cabbage,5,2014,12.35
cabbage,6,2014,13.63
cabbage,7,2014,15.05
cabbage,8,2014,14.0
cabbage,9,2014,16.96
cabbage,10,2014,18.63
cabbage,11,2014,13.83
cabbage,12,2014,18.49
cabbage,1,2015,16.94
cabbage,2,2015,19.37
cabbage,3,2015,7.79
cabbage,4,2015,14.93
cabbage,5,2015,13.25
cabbage,6,2015,3.71
cabbage,7,2015,20.45
cabbage,8,2015,21.88
cabbage,9,2015,13.19
cabbage,10,2015,25.18
cabbage,11,2015,22.69
cabbage,12,2015,20.41
cabbage,1,2016,13.47
cabbage,2,2016,15.69
cabbage,3,2016,11.86
cabbage,4,2016,11.44
cabbage,5,2016,11.27
cabbage,6,2016,14.88
cabbage,7,2016,14.67
cabbage,8,2016,16.68
cabbage,9,2016,14.28
cabbage,10,2016,12.83
cabbage,11,2016,14.7
cabbage,12,2016,9.48
cabbage,1,2017,17.83
cabbage,2,2017,13.86
cabbage,3,2017,21.06
cabbage,4,2017,16.56
cabbage,5,2017,18.08
cabbage,6,2017,20.26
cabbage,7,2017,22.79
cabbage,8,2017,22.17
cabbage,9,2017,26.71
cabbage,10,2017,16.95
cabbage,11,2017,13.16
cabbage,12,2017,25.12
cabbage,1,2018,18.9
cabbage,2,2018,14.08
cabbage,3,2018,19.72
cabbage,4,2018,19.46
cabbage,5,2018,13.49
cabbage,6,2018,21.44
cabbage,7,2018,19.07
cabbage,8,2018,19.84
cabbage,9,2018,14.26
cabbage,10,2018,22.05
cabbage,11,2018,9.19
cabbage,12,2018,14.04
cabbage,1,2019,32.79
cabbage,2,2019,21.4
cabbage,3,2019,22.12
cabbage,4,2019,11.13
cabbage,5,2019,16.39
cabbage,6,2019,29.55
cabbage,7,2019,28.62
cabbage,8,2019,30.51
cabbage,9,2019,25.24
cabbage,10,2019,16.77
cabbage,11,2019,22.17
cabbage,12,2019,34.62
cabbage,1,2020,23.9
cabbage,2,2020,17.28
cabbage,3,2020,8.79
cabbage,4,2020,9.87
cabbage,5,2020,14.43
cabbage,6,2020,17.04
cabbage,7,2020,17.82
cabbage,8,2020,24.61
cabbage,9,2020,15.61
cabbage,10,2020,16.86
cabbage,11,2020,14.62
cabbage,12,2020,13.57
cabbage,1,2021,26.22
cabbage,2,2021,16.84
cabbage,3,2021,19.77
cabbage,4,2021,18.88
cabbage,5,2021,11.09
cabbage,6,2021,25.39
cabbage,7,2021,14.3
cabbage,8,2021,28.63
cabbage,9,2021,24.22
cabbage,10,2021,29.26
cabbage,11,2021,16.63
cabbage,12,2021,28.58
cabbage,1,2022,25.36
cabbage,2,2022,26.62
cabbage,3,2022,29.39
cabbage,4,2022,10.49
cabbage,5,2022,16.53
cabbage,6,2022,22.3
cabbage,7,2022,22.28
cabbage,8,2022,31.57
cabbage,9,2022,28.6
cabbage,10,2022,22.09
cabbage,11,2022,39.32
cabbage,12,2022,19.02
cabbage,1,2023,22.51
cabbage,2,2023,33.92
cabbage,3,2023,21.7
cabbage,4,2023,18.78
cabbage,5,2023,27.27
cabbage,6,2023,30.04
cabbage,7,2023,28.81
cabbage,8,2023,45.03
cabbage,9,2023,38.74
cabbage,10,2023,36.0
cabbage,11,2023,36.67
cabbage,12,2023,25.21
cabbage,1,2024,26.33
cabbage,2,2024,32.21
cabbage,3,2024,21.28
cabbage,4,2024,17.84
cabbage,5,2024,15.0
cabbage,6,2024,33.36
cabbage,7,2024,20.18
cabbage,8,2024,22.93
cabbage,9,2024,20.51
cabbage,10,2024,23.3
cabbage,11,2024,35.15
cabbage,12,2024,25.07
carrot,1,2000,17.15
carrot,2,2000,17.44
carrot,3,2000,13.34
carrot,4,2000,8.4
carrot,5,2000,11.77
carrot,6,2000,11.76
carrot,7,2000,11.96
carrot,8,2000,15.88
carrot,9,2000,18.92
carrot,10,2000,18.28
carrot,11,2000,15.7
carrot,12,2000,18.47
carrot,1,2001,15.27
carrot,2,2001,16.21
carrot,3,2001,14.61
carrot,4,2001,11.8
carrot,5,2001,12.93
carrot,6,2001,14.88
carrot,7,2001,12.89
carrot,8,2001,13.97
carrot,9,2001,23.27
carrot,10,2001,19.5
carrot,11,2001,15.5
carrot,12,2001,10.9
carrot,1,2002,20.8
carrot,2,2002,21.69
carrot,3,2002,20.46
carrot,4,2002,9.95
carrot,5,2002,12.86
carrot,6,2002,19.85
carrot,7,2002,27.36
carrot,8,2002,24.26
carrot,9,2002,22.4
carrot,10,2002,19.77
carrot,11,2002,26.66
carrot,12,2002,27.88
carrot,1,2003,16.77
carrot,2,2003,20.73
carrot,3,2003,16.0
carrot,4,2003,10.38
carrot,5,2003,13.28
carrot,6,2003,9.53
carrot,7,2003,18.36
carrot,8,2003,27.15
carrot,9,2003,15.36
carrot,10,2003,20.39
carrot,11,2003,13.93
carrot,12,2003,18.92
carrot,1,2004,18.37
carrot,2,2004,11.89
carrot,3,2004,10.58
carrot,4,2004,8.62
carrot,5,2004,13.04
carrot,6,2004,11.04
carrot,7,2004,14.07
carrot,8,2004,17.12
carrot,9,2004,14.73
carrot,10,2004,13.52
carrot,11,2004,14.67
carrot,12,2004,16.34
carrot,1,2005,16.06
carrot,2,2005,20.4
carrot,3,2005,16.0
carrot,4,2005,17.77
carrot,5,2005,11.36
carrot,6,2005,17.14
carrot,7,2005,20.29
carrot,8,2005,21.26
carrot,9,2005,12.28
carrot,10,2005,20.37
carrot,11,2005,12.81
carrot,12,2005,17.82
carrot,1,2006,21.58
carrot,2,2006,17.56
carrot,3,2006,14.57
carrot,4,2006,12.99
carrot,5,2006,15.86
carrot,6,2006,16.18
carrot,7,2006,18.8
carrot,8,2006,23.06
carrot,9,2006,19.93
carrot,10,2006,21.88
carrot,11,2006,27.22
carrot,12,2006,17.73
carrot,1,2007,24.6
carrot,2,2007,20.79
carrot,3,2007,24.59
carrot,4,2007,14.09
carrot,5,2007,15.82
carrot,6,2007,15.99
carrot,7,2007,7.01
carrot,8,2007,18.89
carrot,9,2007,23.76
carrot,10,2007,26.04
carrot,11,2007,25.45
carrot,12,2007,27.21
carrot,1,2008,19.25
carrot,2,2008,21.65
carrot,3,2008,17.82
carrot,4,2008,15.63
carrot,5,2008,16.24
carrot,6,2008,16.55
carrot,7,2008,21.75
carrot,8,2008,21.72
carrot,9,2008,25.0
carrot,10,2008,23.48
carrot,11,2008,18.42
carrot,12,2008,25.74
carrot,1,2009,30.22
carrot,2,2009,19.62
carrot,3,2009,30.97
carrot,4,2009,23.95
carrot,5,2009,21.51
carrot,6,2009,42.06
carrot,7,2009,38.27
carrot,8,2009,34.58
carrot,9,2009,33.69
carrot,10,2009,31.42
carrot,11,2009,31.03
carrot,12,2009,31.21
carrot,1,2010,30.88
carrot,2,2010,22.45
carrot,3,2010,17.5
carrot,4,2010,23.2
carrot,5,2010,23.54
carrot,6,2010,16.81
carrot,7,2010,32.11
carrot,8,2010,22.25
carrot,9,2010,10.86
carrot,10,2010,24.7
carrot,11,2010,30.38
carrot,12,2010,24.6
carrot,1,2011,35.2
carrot,2,2011,13.0
carrot,3,2011,15.62
carrot,4,2011,19.25
carrot,5,2011,25.27
carrot,6,2011,24.08
carrot,7,2011,32.3
carrot,8,2011,20.47
carrot,9,2011,24.14
carrot,10,2011,34.42
carrot,11,2011,33.72
carrot,12,2011,23.59
carrot,1,2012,35.38
carrot,2,2012,35.71
carrot,3,2012,22.01
carrot,4,2012,20.46
carrot,5,2012,16.23
carrot,6,2012,23.29
carrot,7,2012,37.63
carrot,8,2012,25.2
